incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.40083425E8,NON-CRIMINAL,AIDED CASE,Tuesday,01/28/2014 08:00:00 AM +0000,15:00,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.41270921367,37.7858553704783,"(37.7858553704783, -122.41270921367)",928
1.40058412E8,OTHER OFFENSES,PAROLE VIOLATION,Monday,01/20/2014 08:00:00 AM +0000,17:35,CENTRAL,"ARREST, BOOKED",100 Block of BROADWAY ST,-122.399957416713,37.7986077530402,"(37.7986077530402, -122.399957416713)",3926
1.40013557E8,OTHER OFFENSES,PROBATION VIOLATION,Sunday,01/05/2014 08:00:00 AM +0000,18:47,PARK,"ARREST, BOOKED",2400 Block of FULTON ST,-122.456323139519,37.7745835508551,"(37.7745835508551, -122.456323139519)",9054
1.31024668E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,12/04/2013 08:00:00 AM +0000,22:50,TARAVAL,"ARREST, CITED",19TH AV / EUCALYPTUS DR,-122.474855245968,37.7310650252983,"(37.7310650252983, -122.474855245968)",18697
1.40012208E8,ASSAULT,BATTERY,Sunday,01/05/2014 08:00:00 AM +0000,06:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"(37.7752316978114, -122.403742962696)",9086
1.46014165E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01/13/2014 08:00:00 AM +0000,13:00,MISSION,NONE,GUERRERO ST / 16TH ST,-122.424104315404,37.7647828165893,"(37.7647828165893, -122.424104315404)",6281
1.30978109E8,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Sunday,11/17/2013 08:00:00 AM +0000,23:00,MISSION,NONE,2400 Block of FOLSOM ST,-122.414662370529,37.7581104649639,"(37.7581104649639, -122.414662370529)",24435
1.40026845E8,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,01/10/2014 08:00:00 AM +0000,07:55,TENDERLOIN,PSYCHOPATHIC CASE,0 Block of GOLDEN GATE AV,-122.41219088703,37.7820419898659,"(37.7820419898659, -122.41219088703)",7298
1.40047158E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,01/16/2014 08:00:00 AM +0000,20:57,NORTHERN,"ARREST, CITED",VANNESS AV / SACRAMENTO ST,-122.422516966616,37.7912889898479,"(37.7912889898479, -122.422516966616)",5276
1.40029156E8,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,01/10/2014 08:00:00 AM +0000,21:29,BAYVIEW,"ARREST, BOOKED",300 Block of BAY SHORE BL,-122.405407976668,37.7427655058355,"(37.7427655058355, -122.405407976668)",7542
1.31007642E8,DISORDERLY CONDUCT,DISTURBING THE PEACE,Thursday,11/28/2013 08:00:00 AM +0000,10:30,MISSION,"ARREST, CITED",2800 Block of HARRISON ST,-122.41161972922,37.7511524403436,"(37.7511524403436, -122.41161972922)",20688
1.46000772E8,NON-CRIMINAL,LOST PROPERTY,Monday,12/30/2013 08:00:00 AM +0000,12:00,INGLESIDE,NONE,FOERSTER ST / FLOOD AV,-122.448856578297,37.7298827464388,"(37.7298827464388, -122.448856578297)",10959
